!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:30бу
!BLECH MATERIAL:5083
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
[S]	[A]	[K]	[K]
2.029	100.0	298.0	298.01
2.0291	9586.0	298.42	307.06
2.0292	17640.0	299.33	325.14
2.0293	25510.0	300.62	348.89
2.0294	32500.0	302.39	379.94
2.0295	39420.0	304.61	417.74
2.0296	45790.0	307.32	463.72
2.0297	52140.0	310.51	516.97
2.0298	58010.0	314.13	577.83
2.0299	63440.0	318.26	647.85
2.03	69140.0	322.9	726.51
2.0301	74450.0	327.94	813.16
2.0302	79220.0	333.42	904.68
2.0303	84020.0	339.22	943.59
2.0304	88750.0	345.22	980.17
2.0305	93000.0	351.54	998.85
2.0306	97620.0	358.29	1052.17
2.0307	101900.0	365.27	1086.27
2.0308	105500.0	372.64	1099.42
2.0309	109600.0	380.35	1111.82
2.031	113000.0	388.37	1127.39
2.0311	116600.0	396.79	1173.68
2.0312	120000.0	405.48	1211.1
2.0313	123100.0	414.48	1266.2
2.0314	126100.0	423.78	1265.01
2.0315	128900.0	433.36	1262.53
2.0316	131500.0	443.31	1287.93
2.0317	134300.0	453.55	1333.89
2.0318	136600.0	463.97	1390.49
2.0319	138700.0	474.75	1465.57
2.032	141000.0	485.86	1552.93
2.0321	143100.0	497.12	1653.92
2.0322	144700.0	508.75	1775.79
2.0323	146800.0	520.67	1888.76
2.0324	148400.0	532.68	1995.18
2.0325	149800.0	544.92	2113.57
2.0326	151200.0	557.38	2238.77
2.0327	152500.0	570.04	2363.63
2.0328	153700.0	582.92	2496.18
2.0329	154900.0	595.92	2632.64
2.033	155700.0	608.95	2761.11
2.0331	156400.0	622.01	2898.27
2.0332	156900.0	635.13	3035.78
2.0333	157500.0	648.34	3166.24
2.0334	157900.0	661.59	3296.3
2.0335	158300.0	674.64	3412.66
2.0336	158100.0	687.56	3523.14
2.0337	158200.0	700.39	3634.29
2.0338	158000.0	712.84	3741.64
2.0339	157700.0	725.13	3847.86
2.034	157600.0	737.59	3949.73
2.0341	157400.0	749.93	4049.9
2.0342	157100.0	761.91	4141.65
2.0343	156500.0	773.7	4227.63
2.0344	155900.0	785.48	4312.31
2.0345	155600.0	796.78	4388.7
2.0346	154600.0	807.7	4458.56
2.0347	153900.0	818.19	4525.59
2.0348	153100.0	828.13	4587.37
2.0349	152300.0	837.72	4642.98
2.035	151200.0	847.01	4693.38
2.0351	150300.0	855.9	4741.15
2.0352	149300.0	864.29	4778.56
2.0353	147900.0	872.47	4816.86
2.0354	146800.0	880.58	4849.25
2.0355	145600.0	888.18	4878.47
2.0356	144300.0	895.52	4903.55
2.0357	142900.0	902.4	4921.42
2.0358	141400.0	908.52	4932.61
2.0359	139700.0	914.11	4941.66
2.036	138300.0	919.85	4947.15
2.0361	136700.0	926.53	4948.95
2.0362	135100.0	933.21	4951.08
2.0363	133500.0	940.71	4948.74
2.0364	131600.0	950.3	4942.14
2.0365	130000.0	958.98	4930.93
2.0366	128000.0	967.68	4915.5
2.0367	126200.0	975.55	4897.2
2.0368	124500.0	982.91	4875.75
2.0369	122600.0	990.4	4849.18
2.037	120400.0	997.66	4820.75
2.0371	118900.0	1004.1	4789.15
2.0372	116600.0	1009.4	4752.97
2.0373	114600.0	1014.31	4714.87
2.0374	112700.0	1018.46	4674.44
2.0375	110700.0	1021.94	4630.62
2.0376	108500.0	1024.37	4584.15
2.0377	106400.0	1026.16	4535.98
2.0378	104400.0	1027.27	4485.96
2.0379	102300.0	1027.72	4434.1
2.038	100200.0	1027.61	4380.26
2.0381	98060.0	1026.59	4324.41
2.0382	95710.0	1025.01	4267.18
2.0383	93720.0	1022.78	4208.62
2.0384	91400.0	1019.97	4149.29
2.0385	89440.0	1016.59	4089.13
2.0386	87160.0	1012.34	4027.25
2.0387	84770.0	1007.71	3964.27
2.0388	82530.0	1003.44	3900.9
