x,SD
0.00449801,638493384.9
0.00449801,578675699.9
0.00452811,694279114.4
0.0045713,637989369.8
0.00460742,625691818.6
0.00466128,626979454.6
0.00472059,636772466.6
0.004777,648671773.1
0.0048304,662220658.2
0.00488069,676987741.8
0.00493063,692979073.6
0.00498166,710540641.8
0.00503385,729490034.2
0.00508568,749446841.7
0.00513747,770554616.0
0.00518924,792773331.1
0.00523949,815756517.6
0.00528974,840075779.6
0.00534073,866215261.2
0.00539248,894211839.5
0.00544421,923872774.9
0.00549443,954984759.4
0.00554464,988097505.6
0.00559562,1023835909.7
0.0056466,1062406728.6
0.00569758,1104045227.0
0.00574858,1149183835.2
0.0057996,1198353352.7
0.00585063,1252204977.8
0.0059017,1311551918.9
0.00595279,1377410061.8
0.00600392,1451048256.6
0.0060551,1534256926.4
0.00610633,1629404180.1
0.00615762,1739824849.2
0.00620899,1870460493.5
0.00626046,2029131509.7
0.00631206,2229393550.5
0.00636381,2492646001.7
0.00641576,2877901422.4
0.00646716,3468924895.9
0.00651777,4939783486.6
0.00656842,5671293998.8
0.00662073,4479031397.4
0.00667612,3644342558.1
0.00673892,3247518088.4
0.00680551,3017551416.6
0.00686304,2877830786.7
0.0069155,2789979038.2
0.00696951,2700921315.4
0.00702439,2661859774.5
0.00707894,2726043426.2
0.0071321,2819556213.0
0.00718697,2909833051.1
0.0072494,3045355995.4
0.00731283,3270925980.5
0.00736824,3637698339.8
0.00742254,4326044573.5
0.0074786,5376616644.2
0.00753314,4969915480.3
0.00758542,3535151797.1
0.00763761,2944259239.5
0.00768964,2547078601.0
0.00774071,2276918577.0
0.00779161,2069950259.7
0.00784238,1904935605.9
0.00789304,1768520678.1
0.00794362,1652592635.9
0.00799414,1552169038.9
0.0080446,1463806609.8
0.00809504,1385069537.6
0.00814545,1314105864.5
0.00819584,1249622366.7
0.00824623,1190588648.5
0.00829738,1135793646.5
0.00834777,1085400603.6
0.00839742,1038877668.7
0.00844785,994975365.8
0.00849829,953740406.7
0.00854875,914911672.5
0.00859923,878300050.9
0.008649,843881841.8
0.00869879,811136012.6
0.00874859,779831860.2
0.00879843,749725236.4
0.00884978,720224522.3
0.00890117,691571690.7
0.00895183,664111332.1
0.00900252,637625683.6
0.0090525,612457547.2
0.00910146,588688215.2
0.00915026,565707351.2
0.00920134,542630847.8
0.00925756,518635694.5
0.00931707,494278835.0
0.0093798,468344272.5
0.00943617,451378882.7
0.00947333,446651656.1
0.00951219,473694988.2
0.00953743,422196203.2
0.00953743,359383016.2
