x,SD
0.00600358,1337383507.6
0.00600358,1310552125.5
0.00601529,1521807741.9
0.00604274,1297121280.5
0.00606907,1236224372.6
0.00609339,1203337542.9
0.00611811,1197702567.8
0.00614361,1200722452.9
0.00616891,1209708644.0
0.00619443,1224201678.1
0.00622035,1245294543.0
0.00624678,1271148709.1
0.00627375,1315592463.3
0.00630129,1356928251.0
0.006329,1407386487.5
0.00635693,1467501921.8
0.00638513,1540274333.1
0.0064133,1630289006.7
0.00644191,1746553984.1
0.00647106,1905305388.2
0.00650109,2128489854.7
0.00653343,2632739179.6
0.00657189,2812041530.0
0.0066225,2309874567.7
0.00667639,2010324888.6
0.00673476,1848515892.7
0.00678831,1725174657.8
0.00685925,1601710526.9
0.00695548,1560679825.4
0.00702071,1546450509.1
0.00708549,1535864327.1
0.00714905,1552563640.6
0.00721366,1581685274.1
0.00727793,1625202303.0
0.00733803,1707988058.3
0.00742683,1822203924.3
0.00749709,1858589104.3
0.00754481,2083277102.2
0.00759637,2421261286.6
0.00763886,3475534360.9
0.00767174,2633628122.4
0.00770088,2149371509.7
0.00772798,1895116406.6
0.00775374,1731152193.8
0.00777816,1618826211.5
0.00780141,1535398729.1
0.00782368,1470386156.0
0.00784514,1418201149.6
0.0078659,1375470068.6
0.00788611,1340594239.8
0.00790585,1312607581.7
0.00792522,1286303622.4
0.00794426,1268880718.2
0.0079627,1256824838.3
0.00798053,1251077013.1
0.00799822,1252182598.0
0.00801631,1259859699.4
0.00803457,1275285968.0
0.00803923,1440535414.7
0.00803923,1699852987.9
0.00804988,1303848133.8
0.00805956,1662952193.3
0.00806098,1356806993.1
